epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5074,366.01,0.062399,0.0332779,0.13228,0.189684,0.342762,601
50,100,12.5089,368.047,0.0802865,0.047421,0.14975,0.205491,0.343594,601
50,200,12.5204,373.031,0.0381003,0.0216306,0.062396,0.193844,0.330283,601
50,400,12.5271,371.003,0.0380021,0.0183028,0.0615641,0.210483,0.296173,601
100,50,12.515,380.757,0.0330983,0.0183028,0.0557404,0.137271,0.294509,601
100,100,12.5201,379.652,0.0313401,0.015807,0.0524126,0.15391,0.28619,601
100,200,12.5274,378.121,0.0292044,0.0124792,0.0482529,0.168885,0.27371,601
100,400,12.5367,371.998,0.0241389,0.00499168,0.0482529,0.195507,0.287022,601
200,50,12.5112,367.906,0.0813406,0.0424293,0.160566,0.217138,0.35025,601
200,100,12.5153,370.813,0.0844857,0.0499168,0.167221,0.215474,0.349418,601
200,200,12.5093,372.032,0.0523916,0.0257903,0.103161,0.165557,0.34193,601
200,400,12.5112,370.654,0.0516032,0.0249584,0.104825,0.193844,0.310316,601
400,50,12.515,370.726,0.0612404,0.0374376,0.113145,0.205491,0.323627,601
400,100,12.5195,368.686,0.0580847,0.031614,0.107321,0.214642,0.335275,601
400,200,12.5109,369.628,0.053109,0.0366057,0.0806988,0.154742,0.318636,601
400,400,12.5152,376.795,0.0396755,0.0166389,0.0815308,0.172213,0.306156,601
