epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.507,170.655,0.15253,0.106961,0.228353,0.271647,0.685059,589
50,100,103.409,159.918,0.152747,0.103565,0.240238,0.278438,0.712224,589
50,200,101.42,152.891,0.176178,0.133277,0.244482,0.281834,0.694397,589
50,400,98.0044,144.926,0.157442,0.106961,0.23854,0.289474,0.724958,589
100,50,102.557,171.049,0.146323,0.0925297,0.23854,0.258065,0.670628,589
100,100,101.2,164.011,0.147242,0.0916808,0.23854,0.254669,0.660441,589
100,200,98.1377,150.465,0.161215,0.112903,0.239389,0.275891,0.694397,589
100,400,89.8573,141.033,0.137052,0.0755518,0.242784,0.287776,0.72326,589
200,50,103.194,146.997,0.175139,0.134975,0.236842,0.295416,0.694397,589
200,100,102.722,139.782,0.170907,0.12309,0.235993,0.304754,0.729202,589
200,200,103.398,172.272,0.155367,0.108659,0.236842,0.260611,0.665535,589
200,400,103.171,160.765,0.162295,0.112054,0.240238,0.272496,0.691851,589
400,50,102.679,151.371,0.162418,0.111205,0.241087,0.294567,0.70798,589
400,100,101.469,140.304,0.166381,0.11545,0.245331,0.305603,0.697793,589
400,200,103.143,172.748,0.160121,0.10781,0.23854,0.257216,0.640917,589
400,400,102.608,162.949,0.161688,0.112054,0.243633,0.264007,0.697793,589
