epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.341,143.448,0.160324,0.104949,0.24744,0.338737,0.716724,586
50,100,103.197,142.172,0.15982,0.104949,0.245734,0.341297,0.726109,586
50,200,100.846,132.231,0.155845,0.101536,0.235495,0.343857,0.761945,586
50,400,99.0674,133.711,0.150012,0.0989761,0.22099,0.331058,0.738055,586
100,50,101.953,144.072,0.156676,0.0981229,0.25256,0.297782,0.716724,586
100,100,100.587,146.286,0.163246,0.111775,0.245734,0.295222,0.742321,586
100,200,98.0777,137.503,0.155611,0.105802,0.225256,0.311433,0.732935,586
100,400,95.8849,139.685,0.15927,0.105802,0.248294,0.28157,0.754266,586
200,50,102.921,126.631,0.168295,0.112628,0.251706,0.406143,0.755119,586
200,100,102.364,119.826,0.162711,0.104096,0.25,0.41041,0.754266,586
200,200,103.159,148.143,0.153469,0.0972696,0.244027,0.302901,0.723549,586
200,400,102.833,138.653,0.166963,0.116894,0.24744,0.334471,0.744881,586
400,50,102.238,129.788,0.170511,0.116894,0.245734,0.348123,0.755973,586
400,100,101.18,131.272,0.156042,0.100683,0.228669,0.357509,0.736348,586
400,200,102.779,145.145,0.155408,0.100683,0.240614,0.305461,0.717577,586
400,400,102.06,147.858,0.157291,0.0989761,0.244027,0.31058,0.744027,586
