epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.692,128.387,0.130314,0.0782537,0.226524,0.412685,0.709226,607
50,100,103.556,137.373,0.133105,0.0864909,0.224053,0.403624,0.7257,607
50,200,101.937,142.726,0.12386,0.0799012,0.205107,0.31631,0.728171,607
50,400,102.228,161.873,0.0958101,0.0609555,0.152389,0.244646,0.685338,607
100,50,102.431,168.689,0.114145,0.0716639,0.205107,0.275124,0.686161,607
100,100,101.73,154.304,0.126554,0.0881384,0.204283,0.284185,0.698517,607
100,200,100.837,150.238,0.11064,0.0741351,0.178748,0.300659,0.727348,607
100,400,96.1615,165.189,0.118468,0.0799012,0.202636,0.272652,0.682867,607
200,50,103.294,136.592,0.128811,0.0799012,0.23229,0.381384,0.73229,607
200,100,102.984,129.769,0.123972,0.0708402,0.228995,0.437397,0.729819,607
200,200,103.512,153.115,0.127574,0.0840198,0.218287,0.329489,0.691928,607
200,400,103.252,151.415,0.123375,0.0782537,0.212521,0.308072,0.727348,607
400,50,102.82,137.102,0.132923,0.0881384,0.220758,0.341845,0.747117,607
400,100,102.684,144.22,0.107181,0.0642504,0.180395,0.315486,0.715815,607
400,200,103.189,156.932,0.12599,0.083196,0.206755,0.295717,0.714168,607
400,400,102.548,146.243,0.122027,0.0782537,0.207578,0.292422,0.717463,607
