epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50.0,50.0,103.407,147.80666666666664,0.15841266666666667,0.10029246666666668,0.24715033333333333,0.35040266666666664,0.7050113333333333,595.3333333333334
50.0,100.0,103.25833333333333,143.31233333333333,0.16105566666666668,0.10222736666666667,0.2527646666666667,0.35933533333333334,0.7330519999999999,595.3333333333334
50.0,200.0,101.09266666666667,138.46099999999998,0.15387633333333334,0.10022696666666668,0.229029,0.328511,0.7496976666666666,595.3333333333334
50.0,400.0,99.9698,146.4466666666667,0.14847866666666668,0.0966473,0.21973600000000001,0.32376699999999997,0.7221616666666667,595.3333333333334
100.0,50.0,102.03066666666666,154.22466666666665,0.15653766666666669,0.09826563333333334,0.24666033333333334,0.2931436666666667,0.7148416666666667,595.3333333333334
100.0,100.0,100.79199999999999,142.45833333333334,0.16073433333333334,0.10482256666666667,0.24519566666666667,0.3105483333333333,0.740666,595.3333333333334
100.0,200.0,98.79763333333334,149.46366666666668,0.15114233333333332,0.10000160000000001,0.22060233333333334,0.3050076666666666,0.7219923333333332,595.3333333333334
100.0,400.0,96.2684,143.90366666666668,0.15987166666666666,0.10472766666666666,0.24997066666666667,0.281831,0.732246,595.3333333333334
200.0,50.0,102.97966666666667,131.78633333333332,0.16811333333333334,0.10894466666666668,0.255821,0.39583566666666664,0.7519453333333334,595.3333333333334
200.0,100.0,102.50033333333333,127.48666666666668,0.16534466666666667,0.10525066666666667,0.2536116666666667,0.40527033333333334,0.7510123333333333,595.3333333333334
200.0,200.0,103.223,145.28633333333335,0.16042566666666666,0.10272686666666668,0.2466263333333333,0.3256516666666666,0.7247723333333335,595.3333333333334
200.0,400.0,102.90666666666668,146.686,0.163296,0.10973326666666666,0.2460713333333333,0.3339203333333333,0.7340733333333334,595.3333333333334
400.0,50.0,102.30900000000001,132.96766666666667,0.16640966666666665,0.11011133333333334,0.24464633333333333,0.3529366666666667,0.7449936666666667,595.3333333333334
400.0,100.0,101.48366666666668,142.55066666666667,0.15340666666666666,0.10217833333333333,0.22090333333333334,0.3525606666666667,0.7223259999999999,595.3333333333334
400.0,200.0,102.85199999999999,150.30266666666668,0.158809,0.10193610000000002,0.24265866666666666,0.3037566666666667,0.7127543333333333,595.3333333333334
400.0,400.0,102.18066666666668,146.71566666666666,0.15975266666666665,0.10242003333333333,0.24575100000000002,0.3194766666666667,0.7334143333333333,595.3333333333334
