Ratio of Sinks to Triples,Ratio of Repeats to Triples,r1,AUC,Dataset
0.236,0.0436,0.130634,0.701326,DBSNP
0.32,0.0614,0.106736,0.718952,DrugBank
0.4291,0.1068,0.120912,0.642769,OMIM
0.3952,0.0733,0.0757176,0.658376,PharmGKB
0.1814,0.0358,0.237325,0.76222,GOA
0.4447,0.0975,0.0710638,0.686,HGNC
0.4298,0.101,0.146003,0.697562,LSR
