batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
1500,500,250,11.7242,243.7,0.203017,0.165816,0.265306,0.345238,0.537415,588
1500,500,500,11.7449,243.275,0.203289,0.172619,0.244048,0.312925,0.52466,588
2000,10,10,11.946,269.548,0.212146,0.179422,0.263605,0.336735,0.489796,588
2000,10,50,12.0091,273.885,0.193366,0.156463,0.254252,0.333333,0.482143,588
2000,10,100,12.0552,264.819,0.215198,0.186224,0.265306,0.341837,0.494898,588
2000,10,250,12.0561,317.003,0.187335,0.158163,0.242347,0.278061,0.387755,588
2000,10,500,11.3444,80.0323,0.244707,0.194728,0.298469,0.565476,0.823129,588
2000,50,10,11.6903,244.407,0.225576,0.197279,0.267007,0.312925,0.562925,588
2000,50,50,11.8289,284.266,0.206488,0.179422,0.25,0.291667,0.42602,588
2000,50,100,11.9406,300.876,0.224238,0.19898,0.267007,0.291667,0.442177,588
2000,50,250,11.968,298.137,0.196435,0.162415,0.251701,0.286565,0.429422,588
2000,50,500,11.1908,66.8299,0.224843,0.170918,0.312925,0.606293,0.855442,588
2000,100,10,11.5338,170.793,0.222191,0.193878,0.262755,0.377551,0.662415,588
2000,100,50,11.691,246.838,0.213526,0.178571,0.260204,0.313776,0.556122,588
2000,100,100,11.8773,286.829,0.212137,0.183673,0.259354,0.292517,0.454932,588
2000,100,250,11.9764,304.376,0.210993,0.182823,0.262755,0.281463,0.411565,588
2000,100,500,12.1159,321.471,0.209547,0.183673,0.248299,0.27466,0.388605,588
2000,250,10,11.056,67.1471,0.240101,0.191327,0.314626,0.598639,0.845238,588
2000,250,50,11.3441,84.3206,0.219347,0.17432,0.290816,0.520408,0.823129,588
2000,250,100,11.4719,150.05,0.211315,0.170918,0.280612,0.413265,0.701531,588
2000,250,250,11.7297,241.408,0.22217,0.192177,0.257653,0.321429,0.517007,588
2000,250,500,11.8141,279.833,0.215295,0.187925,0.264456,0.312925,0.460034,588
2000,500,10,11.0251,70.04,0.224843,0.171769,0.302721,0.598639,0.842687,588
2000,500,50,11.2095,66.4711,0.236872,0.189626,0.305272,0.576531,0.857993,588
2000,500,100,11.3681,98.6616,0.228032,0.184524,0.297619,0.512755,0.784864,588
2000,500,250,11.5953,200.282,0.200082,0.161565,0.262755,0.345238,0.611395,588
2000,500,500,11.7241,255.257,0.222662,0.191327,0.270408,0.317177,0.485544,588
