num_triples ,num_sinks ,num_sinks_no_dup ,num_sources ,num_sources_no_dup ,num_repeats ,num_repeats_no_dup ,sink_avg         ,sink_min ,sink_q1 ,sink_med ,sink_q3 ,sink_max ,source_avg       ,source_min ,source_q1 ,source_med ,source_q3 ,source_max ,repeat_avg       ,repeat_min ,repeat_q1 ,repeat_med ,repeat_q3 ,repeat_max ,ratio_num_sinks    ,ratio_num_sinks_no_dup ,ratio_num_sources  ,ratio_num_sources_no_dup ,ratio_num_repeats     ,ratio_num_repeats_no_dup ,ratio_sink_avg         ,ratio_sink_min         ,ratio_sink_q1          ,ratio_sink_med         ,ratio_sink_q3          ,ratio_sink_max        ,ratio_source_avg       ,ratio_source_min       ,ratio_source_q1        ,ratio_source_med       ,ratio_source_q3        ,ratio_source_max     ,ratio_repeat_avg       ,ratio_repeat_min       ,ratio_repeat_q1        ,ratio_repeat_med       ,ratio_repeat_q3        ,ratio_repeat_max
4062        ,3329      ,2181             ,3329        ,2939               ,733         ,554                ,1.13274336283186 ,1        ,1       ,1        ,1       ,56       ,1.52660550458716 ,1          ,1         ,1          ,1         ,155        ,1.32188065099458 ,1          ,1         ,1          ,1.0       ,73         ,0.8195470211718365 ,0.5369276218611522     ,0.8195470211718365 ,0.723535204332841        ,0.18045297882816347   ,0.13638601674052192      ,0.00027886345712256524 ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.013786312161496799  ,0.00037582607203032    ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.038158542589857215 ,0.0003254260588366765  ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.0002461841457410143  ,0.017971442639094042
3957        ,3936      ,2118             ,3936        ,3893               ,21          ,12                 ,1.01104830421377 ,1        ,1       ,1        ,1       ,6        ,1.85876239962211 ,1          ,1         ,1          ,1         ,227        ,1.0              ,1          ,1         ,1          ,1.0       ,1          ,0.9946929492039424 ,0.535253980288097      ,0.9946929492039424 ,0.983826130907253        ,0.00530705079605762   ,0.003032600454890068     ,0.0002555087956062092  ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.001516300227445034  ,0.0004697403082188805  ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.05736669193833712  ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233 ,0.00025271670457417233
3946        ,3744      ,2404             ,3744        ,3513               ,202         ,74                 ,1.06577448747153 ,1        ,1       ,1        ,1       ,13       ,1.55763628797337 ,1          ,1         ,1          ,1         ,262        ,2.65753424657534 ,1          ,1         ,1          ,3.0       ,20         ,0.9488089204257476 ,0.6092245311708059     ,0.9488089204257476 ,0.8902686264571719       ,0.05119107957425241   ,0.01875316776482514      ,0.0002700898346354612  ,0.00025342118601115053 ,0.00025342118601115053 ,0.00025342118601115053 ,0.00025342118601115053 ,0.003294475418144957  ,0.00039473803547221745 ,0.00025342118601115053 ,0.00025342118601115053 ,0.00025342118601115053 ,0.00025342118601115053 ,0.06639635073492144  ,0.0006734754806323721  ,0.00025342118601115053 ,0.00025342118601115053 ,0.00025342118601115053 ,0.0007602635580334517  ,0.00506842372022301
3934        ,3875      ,2442             ,3875        ,3817               ,59          ,22                 ,1.01519916142558 ,1        ,1       ,1        ,1       ,6        ,1.58705448586645 ,1          ,1         ,1          ,1         ,487        ,2.76190476190476 ,1          ,1         ,1          ,2.0       ,25         ,0.9850025419420437 ,0.6207422470767666     ,0.9850025419420437 ,0.9702592780884596       ,0.014997458057956279  ,0.005592272496187087     ,0.00025805774311783936 ,0.0002541942043721403  ,0.0002541942043721403  ,0.0002541942043721403  ,0.0002541942043721403  ,0.001525165226232842  ,0.00040342005233005846 ,0.0002541942043721403  ,0.0002541942043721403  ,0.0002541942043721403  ,0.0002541942043721403  ,0.12379257752923234  ,0.0007020601835040062  ,0.0002541942043721403  ,0.0002541942043721403  ,0.0002541942043721403  ,0.0005083884087442806  ,0.006354855109303508
3964        ,3859      ,2467             ,3859        ,3797               ,105         ,50                 ,1.01633298208641 ,1        ,1       ,1        ,1       ,8        ,1.56447688564477 ,1          ,1         ,1          ,1         ,353        ,1.81632653061225 ,1          ,1         ,1          ,2.0       ,7          ,0.9735116044399597 ,0.622351160443996      ,0.9735116044399597 ,0.9578708375378405       ,0.026488395560040363  ,0.012613521695257316     ,0.0002563907623830499  ,0.0002522704339051463  ,0.0002522704339051463  ,0.0002522704339051463  ,0.0002522704339051463  ,0.0020181634712411706 ,0.00039467126277617807 ,0.0002522704339051463  ,0.0002522704339051463  ,0.0002522704339051463  ,0.0002522704339051463  ,0.08905146316851666  ,0.00045820548199098136 ,0.0002522704339051463  ,0.0002522704339051463  ,0.0002522704339051463  ,0.0005045408678102926  ,0.0017658930373360242
3998        ,3275      ,2141             ,3275        ,2906               ,723         ,546                ,1.12702237521515 ,1        ,1       ,1        ,1       ,50       ,1.52990654205607 ,1          ,1         ,1          ,1         ,160        ,1.32477064220183 ,1          ,1         ,1          ,1.0       ,70         ,0.819159579789895  ,0.5355177588794398     ,0.819159579789895  ,0.7268634317158579       ,0.18084042021010505   ,0.13656828414207103      ,0.00028189654207482493 ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.01250625312656328   ,0.0003826679694987669  ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.0400200100050025   ,0.00033135833972031765 ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.0002501250625312656  ,0.017508754377188594
4056        ,4029      ,2148             ,4029        ,3983               ,27          ,14                 ,1.01155198392767 ,1        ,1       ,1        ,1       ,9        ,1.87610619469027 ,1          ,1         ,1          ,1         ,246        ,1.23076923076923 ,1          ,1         ,1          ,1.0       ,3          ,0.9933431952662722 ,0.5295857988165681     ,0.9933431952662722 ,0.9820019723865878       ,0.006656804733727811  ,0.0034516765285996054    ,0.000249396445741536   ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.0022189349112426036 ,0.00046255083695519476 ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.060650887573964495 ,0.00030344409042633877 ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.0002465483234714004  ,0.0007396449704142012
4197        ,4008      ,2496             ,4008        ,3745               ,189         ,82                 ,1.07024572649573 ,1        ,1       ,1        ,1       ,16       ,1.6060120240481  ,1          ,1         ,1          ,1         ,276        ,2.24691358024691 ,1          ,1         ,1          ,2.0       ,22         ,0.9549678341672623 ,0.5947105075053609     ,0.9549678341672623 ,0.892304026685728        ,0.04503216583273767   ,0.0195377650702883       ,0.0002550025557530927  ,0.0002382654276864427  ,0.0002382654276864427  ,0.0002382654276864427  ,0.0002382654276864427  ,0.003812246842983083  ,0.00038265714177939005 ,0.0002382654276864427  ,0.0002382654276864427  ,0.0002382654276864427  ,0.0002382654276864427  ,0.06576125804145819  ,0.0005353618251720062  ,0.0002382654276864427  ,0.0002382654276864427  ,0.0002382654276864427  ,0.0004765308553728854  ,0.005241839409101739
4084        ,4042      ,2653             ,4042        ,3985               ,42          ,12                 ,1.01430722891566 ,1        ,1       ,1        ,1       ,9        ,1.5237556561086  ,1          ,1         ,1          ,1         ,470        ,3.72727272727273 ,1          ,1         ,2          ,3.0       ,19         ,0.9897159647404505 ,0.6496082272282077     ,0.9897159647404505 ,0.9757590597453477       ,0.01028403525954946   ,0.002938295788442703     ,0.00024836122157582274 ,0.0002448579823702253  ,0.0002448579823702253  ,0.0002448579823702253  ,0.0002448579823702253  ,0.0022037218413320275 ,0.00037310373557997064 ,0.0002448579823702253  ,0.0002448579823702253  ,0.0002448579823702253  ,0.0002448579823702253  ,0.11508325171400588  ,0.0009126524797435676  ,0.0002448579823702253  ,0.0002448579823702253  ,0.0004897159647404506  ,0.0007345739471106758  ,0.00465230166503428
4065        ,3969      ,2547             ,3969        ,3919               ,96          ,45                 ,1.01276161306789 ,1        ,1       ,1        ,1       ,6        ,1.55852317360566 ,1          ,1         ,1          ,1         ,364        ,1.86363636363636 ,1          ,1         ,1          ,2.0       ,8          ,0.9763837638376384 ,0.6265682656826568     ,0.9763837638376384 ,0.9640836408364084       ,0.023616236162361623  ,0.01107011070110701      ,0.00024914184823318327 ,0.0002460024600246002  ,0.0002460024600246002  ,0.0002460024600246002  ,0.0002460024600246002  ,0.0014760147601476014 ,0.00038340053471233945 ,0.0002460024600246002  ,0.0002460024600246002  ,0.0002460024600246002  ,0.0002460024600246002  ,0.08954489544895448  ,0.000458459130045845   ,0.0002460024600246002  ,0.0002460024600246002  ,0.0002460024600246002  ,0.0004920049200492004  ,0.0019680196801968018
