Ratio of Sinks to Triples,Ratio of Repeats to Triples,r1,AUC,Dataset
0.1496,0.0503,-0.001786,-0.000277,BioPortal
0.236,0.0436,0.060087,-0.016038,DBSNP
0.32,0.0614,0.100103,-0.007412,DrugBank
0.4291,0.1068,0.017222,0.020627,OMIM
0.3952,0.0733,0.0555044,0.023006,PharmGKB
0.1814,0.0358,0.072561,-0.026015,GOA
0.4447,0.0975,0.0546002,-0.023143,HGNC
0.3051,0.0953,0.2009889,-0.07156,KEGG
0.4298,0.101,0.041291,-0.025917,LSR
